0,1,2,3
1576,0,700,0.9775504637915751
1576,0,700,0.9775504637915751
1576,0,700,0.9775504637915751
1577,0,700,0.9775504663100543
1575,0,700,0.9775504684022098
1575,0,700,0.9775504684022098
1574,0,700,0.9775504801607405
1574,0,700,0.9775504801607405
1573,0,700,0.9775504990859983
1573,0,700,0.9775504990859983
1572,0,700,0.9775505251968649
1572,0,700,0.9775505251968649
1571,0,700,0.9775505585122708
1571,0,700,0.9775505585122708
1570,0,700,0.977550599051197
1570,0,700,0.977550599051197
1569,0,700,0.9775506468326747
1569,0,700,0.9775506468326747
1568,0,700,0.9775507018757845
1568,0,700,0.9775507018757845
1567,0,700,0.9775507641996587
1567,0,700,0.9775507641996587
1566,0,700,0.9775508338234791
1566,0,700,0.9775508338234791
1565,0,700,0.977550910766478
1565,0,700,0.977550910766478
1564,0,700,0.9775509950479396
1564,0,700,0.9775509950479396
1563,0,700,0.977551086687198
1563,0,700,0.977551086687198
1562,0,700,0.9775511857036393
1562,0,700,0.9775511857036393
1561,0,700,0.9775512921167
1561,0,700,0.9775512921167
1560,0,700,0.9775514059458692
1560,0,700,0.9775514059458692
1559,0,700,0.9775515272106859
1559,0,700,0.9775515272106859
1558,0,700,0.9775516559307424
1558,0,700,0.9775516559307424
1557,0,700,0.9775517921256819
1557,0,700,0.9775517921256819
1556,0,700,0.9775519358152003
1556,0,700,0.9775519358152003
1555,0,700,0.9775520870190453
1555,0,700,0.9775520870190453
1554,0,700,0.9775522457570167
1554,0,700,0.9775522457570167
1553,0,700,0.9775524120489676
1553,0,700,0.9775524120489676
1552,0,700,0.9775525859148027
1552,0,700,0.9775525859148027
1551,0,700,0.9775527673744805
1551,0,700,0.9775527673744805
1550,0,700,0.9775529564480115
1550,0,700,0.9775529564480115
1549,0,700,0.9775531531554604
1549,0,700,0.9775531531554604
1548,0,700,0.9775533575169443
1548,0,700,0.9775533575169443
1547,0,700,0.9775535695526337
1547,0,700,0.9775535695526337
1546,0,700,0.9775537892827538
1546,0,700,0.9775537892827538
1545,0,700,0.9775540167275822
1545,0,700,0.9775540167275822
